"stage","response","term_type","term","estimate","std_error","t_value","F","edf","ref_df","p_value","adj_r2","dev_explained","n"
"F","Mean","parametric","(Intercept)",0.487716065641161,0.0119125041561759,40.9415232303035,NA,NA,NA,4.53262428013803e-110,0.295648966851995,0.312040347996894,246
"F","Mean","parametric","tube5",0.019864950822449,0.0169002088135358,1.17542635369917,NA,NA,NA,0.24099235164332,0.295648966851995,0.312040347996894,246
"F","Mean","parametric","tube8",0.0500633651322079,0.0168592574579531,2.96948814365435,NA,NA,NA,0.00328633988052654,0.295648966851995,0.312040347996894,246
"F","Mean","smooth","s(q)",NA,NA,NA,25.4588663776173,3.70154396246389,3.9458101988385,0,0.295648966851995,0.312040347996894,246
"F","CV","parametric","(Intercept)",0.231780143962641,0.0124295703364486,18.64747836721,NA,NA,NA,1.20748922508573e-48,0.0116838300064668,0.0238353509917315,245
"F","CV","parametric","tube5",-0.0216678445217012,0.0175781395724782,-1.23265857756791,NA,NA,NA,0.218904283000484,0.0116838300064668,0.0238353509917315,245
"F","CV","parametric","tube8",-0.0414803591559756,0.0176324443198995,-2.35250192221857,NA,NA,NA,0.0194526483324814,0.0116838300064668,0.0238353509917315,245
"F","CV","smooth","s(q)",NA,NA,NA,0.380510043952671,1.00002287772346,1.00004575504157,0.53792018609126,0.0116838300064668,0.0238353509917315,245
"F","Skew","parametric","(Intercept)",-0.0423959394203742,0.0879821465220505,-0.481869800820884,NA,NA,NA,0.630343812862569,0.0216195050360792,0.0393703257779695,242
"F","Skew","parametric","tube5",-0.0102331306308878,0.123815032972793,-0.0826485313228193,NA,NA,NA,0.93420088093943,0.0216195050360792,0.0393703257779695,242
"F","Skew","parametric","tube8",-0.162196211350245,0.12446576878376,-1.30313911154187,NA,NA,NA,0.193793874044726,0.0216195050360792,0.0393703257779695,242
"F","Skew","smooth","s(q)",NA,NA,NA,1.83880362270783,2.37247862239255,2.861003484846,0.103204074896205,0.0216195050360792,0.0393703257779695,242
"FM","Mean","parametric","(Intercept)",0.448437785145205,0.0181520745975447,24.7044921909842,NA,NA,NA,4.36342758632472e-59,0.356846964873276,0.374933424918239,182
"FM","Mean","parametric","tube5",-0.0383376552547836,0.0229058708811857,-1.67370432906234,NA,NA,NA,0.0959659317450327,0.356846964873276,0.374933424918239,182
"FM","Mean","parametric","tube8",-0.0231308704302305,0.0225781320972854,-1.02448113646264,NA,NA,NA,0.307014827046039,0.356846964873276,0.374933424918239,182
"FM","Mean","smooth","s(q)",NA,NA,NA,26.8025912519667,3.09000049652736,3.55635838294454,0,0.356846964873276,0.374933424918239,182
"FM","CV","parametric","(Intercept)",0.303664927741729,0.0361909806317558,8.39062447164745,NA,NA,NA,6.99939598859714e-14,0.0108831393679063,0.0392149338150546,135
"FM","CV","parametric","tube5",0.000505346362908083,0.0428878314245881,0.0117829777380248,NA,NA,NA,0.990616802521981,0.0108831393679063,0.0392149338150546,135
"FM","CV","parametric","tube8",-0.012937434437086,0.0419767616638383,-0.308204680977838,NA,NA,NA,0.758419272485294,0.0108831393679063,0.0392149338150546,135
"FM","CV","smooth","s(q)",NA,NA,NA,2.04891564190759,1.83823247486821,2.25410129696945,0.144607256135662,0.0108831393679063,0.0392149338150546,135
"FM","Skew","parametric","(Intercept)",-0.148380300585765,0.274948993827883,-0.539664824809835,NA,NA,NA,0.590690916799498,0.00665670178240485,0.0370658852037986,99
